STATION,GPS,HEIGHT (m),HEIGHT UNCERTAINTY (m),RATE (mm/yr),RATE UNCERTAINTY (mm/yr),EPOCH,SOLUTION,START DATE,END DATE,DISTANCE
1265,P123,25.569,0.005,-1.08,0.30,2020.0000,GT3,2003-06-12,2023-03-23,24
1309,SHE2,-26.922,0.010,-0.57,0.45,2020.0000,NGL14,2007-02-11,2023-03-22,3561
1309,SHE2,-26.925,0.010,-0.77,0.29,2020.0000,JPL14,2007-02-11,2023-03-22,3561
1318,P121,25.067,0.005,-1.07,0.30,2020.0000,GT3,2003-06-11,2023-03-23,16
1318,P121,25.073,0.010,-0.20,0.94,2020.0000,NGL14,2003-06-11,2023-03-23,16
1320,P120,29.230,0.005,5.21,0.74,2020.0000,NGL14,2003-06-09,2023-03-23,34
1320,P120,29.198,0.005,1.80,0.30,2020.0000,GT3,2003-06-09,2023-03-23,34
1326,SHE2,-26.925,0.010,-0.77,0.29,2020.0000,JPL14,2007-02-11,2023-03-22,3561
1326,SHE2,-26.922,0.010,-0.57,0.45,2020.0000,NGL14,2007-02-11,2023-03-22,3561
1343,P113,33.476,0.034,4.15,3.20,2020.0000,NGL14,2003-06-10,2023-03-23,8
1343,P113,33.548,0.005,5.76,0.30,2020.0000,GT3,2003-06-10,2023-03-23,8
1344,P109,31.255,0.004,3.14,0.86,2020.0000,NGL14,2003-06-05,2023-03-23,13
1344,P109,31.272,0.005,5.25,0.30,2020.0000,GT3,2003-06-05,2023-03-23,13
1345,P106,34.709,0.047,-4.27,3.70,2020.0000,NGL14,2003-06-10,2011-03-11,40
1347,ROTG,43.526,0.004,-1.92,0.54,2020.0000,NGL14,2009-08-25,2023-03-23,15
1347,ROTG,43.525,0.009,-1.25,0.20,2020.0000,ULR7a,2009-08-25,2023-03-23,15
1347,ROTG,43.545,0.004,-0.69,0.30,2020.0000,GT3,2009-08-25,2023-03-23,15
1364,P205,32.957,0.004,43.28,1.94,2020.0000,NGL14,2003-06-11,2023-03-23,30
1364,P205,33.192,0.005,-5.48,0.30,2020.0000,GT3,2003-06-11,2023-03-23,30
